season,holiday,workingday,weather,temp,atemp,humidity,windspeed,year,month,day,hour,dayofweek,is_weekend,temp_bin,humidity_bin,count
1,0,1,1,13.94,16.665,61,8.9981,2012,3,12,8,0,0,1,1,564
1,0,1,1,9.84,10.605,65,19.0012,2011,3,2,8,2,0,0,1,256
1,0,0,1,19.68,23.485,31,22.0028,2011,3,19,17,5,1,1,0,278
2,1,0,2,16.4,20.455,76,19.9995,2011,4,15,21,4,0,1,2,102
3,0,1,2,27.88,31.82,79,43.0006,2012,9,18,11,1,0,2,2,151
2,0,1,2,30.34,33.335,48,15.0013,2012,6,11,20,0,0,3,1,394
3,0,1,1,30.34,35.605,79,8.9981,2012,8,3,23,4,0,3,2,196
3,0,1,1,25.42,31.06,41,12.998,2012,9,11,19,1,0,2,1,596
3,0,1,3,27.88,31.82,79,43.0006,2012,9,18,10,1,0,2,2,160
1,0,1,1,17.22,21.21,62,15.0013,2011,3,17,21,3,0,1,1,138
1,0,1,1,11.48,12.88,61,19.9995,2012,3,7,8,2,0,1,1,566
2,0,1,2,22.96,26.515,83,15.0013,2011,5,3,0,1,0,2,2,16
3,0,1,1,26.24,31.06,53,11.0014,2011,8,12,0,4,0,2,1,65
3,1,0,1,27.06,29.545,89,6.0032,2012,9,3,4,0,0,2,2,11
2,1,0,1,28.7,31.82,45,19.9995,2012,4,16,23,0,0,2,1,121
2,0,1,2,22.96,26.515,83,19.9995,2011,4,11,10,0,0,2,2,96
4,1,0,2,15.58,19.695,66,11.0014,2012,10,8,9,0,0,1,1,332
4,0,1,1,17.22,21.21,71,11.0014,2011,11,2,18,2,0,1,2,479
3,0,0,1,32.8,38.635,59,16.9979,2012,8,4,21,5,1,3,1,289
4,0,0,1,15.58,19.695,87,8.9981,2012,10,7,22,6,1,1,2,79
4,0,1,1,9.84,12.12,65,11.0014,2012,12,6,22,3,0,0,1,133
1,0,1,1,20.5,24.24,34,27.9993,2012,3,7,13,2,0,2,0,205
3,0,1,1,27.06,30.305,83,11.0014,2011,7,8,20,4,0,2,2,250
3,0,1,2,30.34,34.09,62,6.0032,2011,8,19,12,4,0,3,1,222
3,0,1,1,28.7,31.82,42,0.0,2012,9,13,13,3,0,2,1,283
2,0,1,2,22.96,26.515,83,27.9993,2011,5,17,11,1,0,2,2,130
3,0,1,1,29.52,33.335,58,0.0,2012,7,5,4,3,0,2,1,7
3,0,1,1,31.98,37.12,59,15.0013,2011,7,6,17,2,0,3,1,596
2,0,1,1,18.86,22.725,33,11.0014,2012,4,5,14,3,0,1,0,287
2,0,1,1,31.16,35.605,62,7.0015,2011,6,10,20,4,0,3,1,250
3,0,1,1,22.96,26.515,73,6.0032,2012,9,14,1,4,0,2,2,41
3,0,1,2,28.7,32.575,70,11.0014,2012,8,7,8,1,0,2,1,705
1,0,1,2,4.92,6.06,54,19.0012,2011,2,10,6,3,0,0,1,26
3,0,0,1,31.16,34.09,45,22.0028,2011,7,16,15,5,1,3,1,428
4,0,0,1,9.84,12.88,65,7.0015,2011,12,3,6,5,1,0,1,11
2,0,0,3,21.32,25.0,83,15.0013,2012,5,6,6,6,1,2,2,17
1,0,1,1,10.66,13.635,33,7.0015,2011,2,15,20,1,0,1,0,101
4,0,1,2,11.48,12.88,52,22.0028,2012,11,7,5,2,0,1,1,27
3,0,1,1,30.34,36.365,74,6.0032,2011,7,19,20,1,0,3,2,277
1,0,0,2,9.84,12.12,87,8.9981,2012,2,5,0,6,1,0,2,61
1,0,1,2,16.4,20.455,87,15.0013,2012,3,16,5,4,0,1,2,32
4,0,0,1,21.32,25.0,48,27.9993,2012,10,6,18,5,1,2,1,495
2,0,0,2,18.86,22.725,31,0.0,2011,4,3,18,6,1,1,0,172
4,0,1,1,12.3,14.395,42,19.0012,2011,11,17,20,3,0,1,1,169
4,0,1,1,21.32,25.0,45,11.0014,2011,10,17,10,0,0,2,1,135
4,0,1,1,7.38,12.12,74,0.0,2011,12,12,3,0,0,0,2,2
3,0,1,1,27.06,31.06,65,8.9981,2011,8,16,23,1,0,2,1,77
4,0,0,1,27.88,31.82,47,11.0014,2011,10,9,14,6,1,2,1,500
1,0,1,4,8.2,11.365,86,6.0032,2012,1,9,18,0,0,0,2,164
3,0,0,3,24.6,27.275,88,32.9975,2011,8,14,21,6,1,2,2,155
2,0,0,1,14.76,16.665,53,23.9994,2011,4,2,19,5,1,1,1,148
3,0,1,2,33.62,37.88,46,16.9979,2011,8,2,20,1,0,3,1,288
1,0,1,1,4.1,6.06,54,8.9981,2012,2,13,8,0,0,0,1,417
4,0,0,1,21.32,25.0,45,0.0,2012,11,10,15,5,1,2,1,567
3,0,1,1,32.8,34.85,26,16.9979,2011,8,10,19,2,0,3,0,413
3,0,0,2,27.06,29.545,89,6.0032,2012,9,2,0,6,1,2,2,99
3,0,1,1,29.52,33.335,51,11.0014,2012,7,12,22,3,0,2,1,318
1,0,1,1,9.02,11.365,55,8.9981,2011,2,11,20,4,0,0,1,63
4,0,0,2,18.04,21.97,62,8.9981,2012,10,7,3,6,1,1,1,22
3,0,1,1,26.24,12.12,65,7.0015,2012,8,17,3,4,0,2,1,6
1,0,1,1,16.4,20.455,35,12.998,2012,2,17,20,4,0,1,0,171
2,0,1,1,21.32,25.0,68,0.0,2012,6,4,5,0,0,2,1,35
3,0,0,3,26.24,29.545,78,11.0014,2012,8,19,11,6,1,2,2,272
2,0,1,1,13.12,15.15,45,19.0012,2012,4,11,2,2,0,1,1,2
1,0,1,1,4.1,3.79,46,26.0027,2012,1,3,23,1,0,0,1,18
1,0,1,1,15.58,19.695,43,15.0013,2012,2,7,19,1,0,1,1,338
4,0,1,2,24.6,27.275,88,12.998,2012,10,2,12,1,0,2,2,104
1,0,1,3,6.56,8.335,80,11.0014,2011,2,9,22,2,0,0,2,46
2,0,0,1,21.32,25.0,19,27.9993,2012,4,7,15,5,1,2,0,626
2,0,1,1,25.42,30.305,69,30.0026,2011,5,17,15,1,0,2,1,210
1,0,1,1,4.92,6.06,50,15.0013,2012,2,13,1,0,0,0,1,6
4,0,0,1,20.5,24.24,34,16.9979,2011,11,12,17,5,1,2,0,285
3,0,0,1,24.6,28.03,83,7.0015,2012,9,15,0,5,1,2,2,207
1,0,0,3,9.02,11.365,100,11.0014,2011,2,5,13,5,1,0,2,72
4,0,0,2,18.04,21.97,54,8.9981,2012,10,7,5,6,1,1,1,10
4,0,1,3,16.4,20.455,76,0.0,2011,10,3,14,0,0,1,2,120
2,0,1,1,13.94,15.15,57,22.0028,2012,4,11,22,2,0,1,1,134
3,0,1,2,30.34,34.85,70,8.9981,2012,8,7,10,1,0,3,1,250
4,0,1,1,17.22,21.21,71,30.0026,2012,12,11,1,1,0,1,2,8
3,0,1,1,31.16,35.605,62,12.998,2011,7,18,10,0,0,3,1,130
3,0,1,1,26.24,30.305,69,7.0015,2012,8,13,5,0,0,2,1,36
3,0,1,2,28.7,32.575,54,0.0,2012,7,13,6,4,0,2,1,127
3,0,1,1,29.52,34.85,79,8.9981,2011,8,9,0,1,0,2,2,35
1,0,0,1,15.58,19.695,40,19.0012,2012,1,8,0,6,1,1,0,91
4,0,1,3,11.48,13.635,81,11.0014,2012,12,7,7,4,0,1,2,215
3,0,1,1,29.52,34.85,74,7.0015,2011,8,9,7,1,0,2,2,343
1,0,0,1,20.5,24.24,39,16.9979,2012,1,7,20,5,1,2,0,170
4,0,1,2,13.12,15.15,45,15.0013,2011,12,16,19,4,0,1,1,214
4,0,0,1,9.02,12.12,55,7.0015,2011,12,11,20,6,1,0,1,72
4,0,0,1,14.76,17.425,62,12.998,2012,12,15,22,5,1,1,1,156
4,0,1,1,13.12,15.91,81,12.998,2011,11,1,6,1,0,1,2,93
4,0,0,1,25.42,31.06,29,26.0027,2011,10,15,16,5,1,2,0,443
1,0,0,1,15.58,19.695,66,6.0032,2011,3,12,23,5,1,1,1,49
1,0,1,1,21.32,25.0,68,7.0015,2012,3,15,10,3,0,2,1,164
1,0,1,1,18.86,22.725,59,8.9981,2012,2,2,0,3,0,1,1,31
1,0,1,2,13.94,15.15,76,22.0028,2011,3,9,19,2,0,1,2,134
1,0,0,2,16.4,20.455,94,15.0013,2011,1,1,22,5,1,1,2,28
4,0,1,1,17.22,21.21,35,7.0015,2012,11,16,14,4,0,1,0,251
4,0,1,2,20.5,24.24,94,15.0013,2012,12,10,14,0,0,2,2,210
4,0,1,3,18.86,22.725,100,0.0,2011,11,16,12,2,0,1,2,54
2,0,0,1,20.5,24.24,63,8.9981,2012,4,15,6,6,1,2,1,16
1,0,0,2,12.3,15.15,100,8.9981,2011,3,5,5,5,1,1,2,3
4,0,1,1,21.32,25.0,83,0.0,2012,10,5,6,4,0,2,2,137
4,0,1,1,14.76,16.665,43,19.0012,2012,11,5,16,0,0,1,1,360
1,0,1,2,9.84,12.88,93,7.0015,2011,1,19,8,2,0,0,2,197
3,0,1,2,24.6,28.03,83,0.0,2011,8,15,2,0,0,2,2,3
2,0,0,2,18.86,22.725,82,0.0,2011,5,1,20,6,1,1,2,121
2,0,1,1,24.6,31.06,55,11.0014,2011,5,19,18,3,0,2,1,513
1,0,1,2,13.94,16.665,66,8.9981,2011,2,7,18,0,0,1,1,175
1,0,1,2,12.3,16.665,70,0.0,2011,3,15,9,1,0,1,1,157
4,0,0,1,11.48,12.88,52,19.9995,2011,11,19,9,5,1,1,1,142
3,0,1,1,35.26,41.665,53,7.0015,2011,7,19,13,1,0,3,1,172
1,0,1,3,19.68,23.485,77,27.9993,2012,3,9,2,4,0,1,2,11
2,0,1,2,25.42,31.06,50,7.0015,2011,4,12,0,1,0,2,1,24
3,0,0,2,20.5,24.24,72,12.998,2011,9,17,21,5,1,2,2,170
4,0,1,1,12.3,15.91,70,7.0015,2012,11,2,4,4,0,1,1,7
1,0,1,1,9.84,11.365,30,15.0013,2011,1,3,17,0,0,0,0,157
2,0,1,1,28.7,31.82,34,16.9979,2011,6,13,14,0,0,2,0,200
1,0,1,1,13.12,14.395,49,27.9993,2012,2,2,22,3,0,1,1,109
2,0,1,1,25.42,29.545,78,8.9981,2011,6,6,0,0,0,2,2,29
3,0,1,1,35.26,40.91,50,12.998,2011,7,19,14,1,0,3,1,152
2,0,0,2,27.06,31.06,47,12.998,2012,6,16,20,5,1,2,1,352
3,0,1,1,27.06,29.545,89,12.998,2011,7,7,2,3,0,2,2,8
2,0,1,1,22.96,26.515,21,35.0008,2012,4,10,17,1,0,2,0,744
2,1,0,1,26.24,31.06,53,22.0028,2012,4,16,0,0,0,2,1,41
1,0,0,1,13.12,16.665,57,7.0015,2012,1,7,3,5,1,1,1,20
3,0,0,2,28.7,33.335,74,19.9995,2012,8,11,18,5,1,2,2,300
1,0,1,3,5.74,10.605,93,0.0,2011,2,1,5,1,0,0,2,3
4,0,1,1,13.94,16.665,53,11.0014,2012,11,16,18,4,0,1,1,505
1,0,1,1,17.22,21.21,35,27.9993,2012,2,17,15,4,0,1,0,221
4,0,0,3,14.76,16.665,81,16.9979,2011,10,2,15,6,1,1,2,173
4,1,0,1,16.4,20.455,76,6.0032,2012,11,12,4,0,0,1,2,4
4,1,0,1,13.94,15.91,39,16.9979,2011,11,11,18,4,0,1,0,208
3,0,0,2,27.06,30.305,83,12.998,2011,7,3,19,6,1,2,2,183
3,0,1,1,25.42,31.06,57,8.9981,2012,9,12,20,2,0,2,1,470
1,0,1,1,7.38,9.09,51,15.0013,2012,3,6,5,1,0,0,1,25
3,0,1,1,22.96,26.515,73,6.0032,2012,9,13,0,3,0,2,2,57
4,0,1,1,21.32,25.0,63,22.0028,2011,12,15,22,3,0,2,1,124
2,0,1,3,22.14,25.76,88,19.0012,2011,5,18,10,2,0,2,2,106
2,0,0,1,24.6,31.06,49,0.0,2011,5,8,14,6,1,2,1,366
1,0,0,1,5.74,6.82,43,15.0013,2012,2,12,23,6,1,0,1,23
3,0,1,1,31.16,35.605,58,35.0008,2011,8,19,17,4,0,3,1,527
2,0,1,1,26.24,31.06,53,15.0013,2012,6,1,1,4,0,2,1,34
3,0,1,3,28.7,33.335,84,11.0014,2012,9,6,11,3,0,2,2,62
3,0,1,1,30.34,33.335,48,15.0013,2012,7,12,20,3,0,3,1,514
1,0,0,1,13.94,15.15,42,23.9994,2012,3,4,12,6,1,1,1,327
2,0,1,1,13.94,15.91,66,16.9979,2011,5,5,5,3,0,1,1,30
2,0,1,1,17.22,21.21,67,8.9981,2011,5,10,6,1,0,1,1,112
4,0,1,1,13.12,16.665,93,7.0015,2011,11,8,1,1,0,1,2,11
2,0,1,1,30.34,34.09,56,8.9981,2011,6,7,20,1,0,3,1,346
2,0,0,1,22.14,25.76,88,0.0,2011,5,15,21,6,1,2,2,151
2,0,0,2,18.86,22.725,72,8.9981,2011,5,1,9,6,1,1,2,141
1,0,1,3,15.58,19.695,0,15.0013,2011,3,10,7,3,0,1,0,37
4,0,0,1,18.04,21.97,88,0.0,2011,10,9,6,6,1,1,2,21
4,0,1,1,17.22,21.21,16,26.0027,2012,11,8,16,3,0,1,0,339
2,0,1,1,23.78,27.275,88,11.0014,2011,6,7,5,1,0,2,2,32
4,0,0,2,10.66,12.12,93,16.9979,2012,12,1,9,5,1,1,2,193
3,0,1,2,22.14,25.76,88,22.0028,2011,9,6,6,1,0,2,2,72
1,0,1,1,15.58,19.695,43,12.998,2011,2,16,20,2,0,1,1,118
1,0,1,2,15.58,19.695,34,0.0,2011,3,14,14,0,0,1,0,79
4,0,0,1,20.5,24.24,36,12.998,2012,10,13,15,5,1,2,0,615
2,0,0,2,25.42,30.305,61,7.0015,2011,6,5,6,6,1,2,1,21
1,0,1,2,13.12,17.425,57,0.0,2012,2,10,20,4,0,1,1,151
1,0,0,1,22.14,25.76,68,6.0032,2012,3,18,15,6,1,2,1,554
1,0,1,2,10.66,15.15,56,0.0,2012,2,14,1,1,0,1,1,6
4,0,0,1,18.86,22.725,38,11.0014,2012,10,13,17,5,1,1,0,528
2,0,1,2,19.68,23.485,55,8.9981,2012,4,4,9,2,0,1,1,363
4,0,1,1,19.68,23.485,77,11.0014,2011,10,5,1,2,0,1,2,11
2,0,1,2,30.34,33.335,45,15.0013,2012,5,1,15,1,0,3,1,234
2,0,1,1,29.52,34.85,79,6.0032,2012,6,19,22,1,0,2,2,291
1,0,0,1,18.04,21.97,16,39.0007,2011,2,19,11,5,1,1,0,123
2,0,1,2,25.42,29.545,73,11.0014,2012,5,14,15,0,0,2,2,196
2,0,1,1,17.22,21.21,62,7.0015,2011,4,18,3,0,0,1,1,7
4,0,1,2,24.6,29.545,73,11.0014,2011,10,11,11,1,0,2,2,123
1,0,1,2,16.4,20.455,87,11.0014,2012,3,16,6,4,0,1,2,99
3,0,1,1,30.34,33.335,51,19.0012,2011,8,15,17,0,0,3,1,530
1,0,1,1,12.3,13.635,45,19.9995,2012,3,5,16,0,0,1,1,210
2,0,0,2,24.6,29.545,73,16.9979,2011,6,5,8,6,1,2,2,98
3,0,1,1,27.88,31.82,79,8.9981,2012,7,10,4,1,0,2,2,4
3,0,0,1,31.16,35.605,62,7.0015,2011,7,3,11,6,1,3,1,390
2,0,0,2,22.96,26.515,88,15.0013,2011,5,14,18,5,1,2,2,304
1,0,0,1,18.04,21.97,54,19.9995,2012,1,1,14,6,1,1,1,267
4,1,0,2,22.14,25.76,88,7.0015,2011,10,10,23,0,0,2,2,75
1,0,1,1,9.84,11.365,65,15.0013,2012,2,3,8,4,0,0,1,441
2,0,0,1,10.66,13.635,65,8.9981,2011,4,2,1,5,1,1,1,32
1,0,1,1,15.58,19.695,43,11.0014,2012,2,15,19,2,0,1,1,311
1,0,1,1,4.1,5.305,36,15.0013,2011,2,9,1,2,0,0,0,7
1,0,1,2,6.56,7.575,55,12.998,2011,1,11,2,1,0,0,1,3
4,0,0,1,13.12,15.91,61,11.0014,2012,12,15,10,5,1,1,1,273
1,0,0,1,9.84,10.605,41,22.0028,2012,3,10,9,5,1,0,1,148
4,0,1,1,10.66,13.635,56,7.0015,2011,12,8,19,3,0,1,1,232
1,0,1,1,13.12,15.91,39,12.998,2011,3,1,18,1,0,1,0,224
4,0,0,1,18.04,21.97,88,0.0,2011,10,9,5,6,1,1,2,15
3,1,0,2,27.88,31.82,79,19.0012,2011,9,5,15,0,0,2,2,253
1,0,0,1,12.3,15.91,81,7.0015,2012,1,1,10,6,1,1,2,70
1,0,1,1,12.3,13.635,70,31.0009,2011,3,1,0,1,0,1,1,7
3,0,1,1,29.52,34.09,70,0.0,2011,8,9,2,1,0,2,1,12
3,0,1,1,27.06,31.06,74,0.0,2011,8,2,0,1,0,2,2,29
3,0,1,1,26.24,28.79,89,8.9981,2012,7,11,6,2,0,2,2,185
1,0,1,1,10.66,12.88,48,11.0014,2011,3,7,22,0,0,1,1,35
3,0,1,1,31.16,33.335,31,8.9981,2011,8,10,20,2,0,3,0,312
2,0,1,3,15.58,19.695,94,16.9979,2011,4,13,5,2,0,1,2,5
4,0,1,1,14.76,17.425,50,11.0014,2012,10,11,5,3,0,1,1,42
3,0,1,2,31.16,34.85,55,6.0032,2011,8,3,3,2,0,3,1,4
4,0,1,3,21.32,25.0,94,22.0028,2011,10,19,12,2,0,2,2,130
4,0,1,1,17.22,21.21,41,6.0032,2011,12,2,16,4,0,1,1,276
3,0,0,1,31.16,34.85,55,12.998,2011,7,10,20,6,1,3,1,268
3,0,1,1,29.52,34.09,62,6.0032,2011,8,19,10,4,0,2,1,165
3,0,1,2,33.62,37.88,46,0.0,2012,8,7,14,1,0,3,1,261
3,0,0,3,26.24,30.305,73,0.0,2012,8,19,14,6,1,2,2,149
2,0,1,2,25.42,31.06,53,19.9995,2012,5,7,15,0,0,2,1,262
2,0,1,3,22.96,26.515,88,15.0013,2012,5,9,4,2,0,2,2,5
3,0,0,1,28.7,33.335,74,8.9981,2011,7,17,23,6,1,2,2,93
1,0,1,1,4.92,6.06,33,16.9979,2012,1,3,20,1,0,0,0,115
2,0,1,1,28.7,31.82,28,19.0012,2011,6,3,14,4,0,2,0,240
3,0,0,2,21.32,25.0,72,15.0013,2011,9,17,18,5,1,2,2,329
1,0,1,1,16.4,20.455,58,16.9979,2011,1,19,14,2,0,1,1,75
4,0,0,2,16.4,20.455,62,0.0,2012,12,1,15,5,1,1,1,484
2,0,0,1,28.7,31.82,39,26.0027,2012,4,15,15,6,1,2,0,617
1,0,1,1,20.5,24.24,63,0.0,2012,3,15,3,3,0,2,1,7
2,0,1,1,26.24,29.545,78,7.0015,2011,6,17,20,4,0,2,2,232
4,0,1,1,17.22,21.21,82,11.0014,2012,12,18,4,1,0,1,2,8
3,0,1,1,31.16,35.605,62,8.9981,2012,7,6,2,4,0,3,1,17
1,0,1,1,9.84,12.88,32,7.0015,2011,1,3,18,0,0,0,0,157
